path	consumers
global.BOARD_TYPE	postinst,switchd.sh,wifi_board_config.sh,wifi_bridge.sh,wifi_init.sh,wifi_link_monitor.py,wifi_logger_mmc.sh
global.BUS_TYPE	postinst,wifi.sh,wifi_board_config.sh,wifi_bridge.sh,wifi_checker.sh,wifi_config.py,wifi_init.sh,wifi_link_monitor.py
global.BLUETOOTH.enable	wifi.sh,wifi_init.sh
global.MOD_PARA	postinst,wifi.sh,wifi_apply_enabled.sh,wifi_board_config.sh,wifi_checker.sh,wifi_config.py,wifi_init.sh,wifi_services.sh,wlan_reboot_policy.sh
global.CAL_DATA_CFG	wifi.sh,wifi_cal_backup.sh,wifi_cal_backup_test.sh,wifi_init.sh
global.TXPWRLIMIT_PATH	wifi.sh,wifi_init.sh
global.STANDARD	wifi.sh,wifi_init.sh,wifi_radio_test.sh
global.DEV_CAP_MASK	wifi_init.sh
global.ANT_TYPE	wifi_init.sh
global.tx_work	wifi_init.sh
global.ping_monitor.enabled	wifi_apply_enabled.sh
mac.mlan0.base	update_mac_test.sh,wifi.sh,wifi_init.sh
mac.mlan0.target	wifi.sh,wifi_init.sh,wifi_mac_save.py,wifi_mac_set.py
mac.mlan1.base	update_mac_test.sh,wifi.sh,wifi_init.sh
mac.mlan1.target	wifi.sh,wifi_init.sh,wifi_mac_save.py,wifi_mac_set.py
mac.eth0.base	eth_mac_get.sh,wifi.sh,wifi_init.sh
wbridge.enabled	factory_reset.sh,postinst,wifi.sh,wifi_apply_enabled.sh,wifi_bridge.sh,wifi_eth_peer_route.sh,wifi_init.sh,wired_mac_ip_get.py
wbridge.bridge_iface	wifi.sh,wifi_apply_enabled.sh,wifi_init.sh
wbridge.mac_mode	wifi.sh,wifi_init.sh
wbridge.ip_discovery	wifi.sh,wired_mac_ip_get.py
wbridge.eth_client_ip	wifi.sh,wifi_eth_peer_find.sh,wired_mac_ip_get.py
wbridge.eth_link_wait_sec	wired_mac_ip_get.py
wbridge.eth_sweep_subnet	wifi.sh,wifi_eth_peer_find.sh,wired_mac_ip_get.py
wbridge.peer_route.enabled	factory_reset.sh,wifi.sh,wifi_eth_peer_route.sh,wifi_init.sh,wired_mac_ip_get.py
wbridge.arp_ignore_always.enabled	wifi.sh,wifi_init.sh
wbridge.eth_fallback.enabled	wifi.sh,wifi_init.sh
wbridge.engine	_common.sh,_quick.sh,wifi.sh,wifi_bridge.sh,wifi_init.sh
wbridge.moal.keepalive_ms	wifi_init.sh
wbridge.moal.keepalive_idle_ms	wifi_init.sh
wbridge.moal.deliver_rt_prio	wifi_init.sh
wbridge.moal.debug	wifi_init.sh
wbridge.moal.peer	wifi_init.sh
wbridge.moal.consume_link_local	wifi_init.sh
wbridge.moal.local_hairpin	wifi.sh,wifi_init.sh
wbridge.optimize.enabled	wifi_bridge.sh
wbridge.optimize.mode	wifi_bridge.sh
wbridge.optimize.irq_affinity	wifi_bridge.sh
wbridge.optimize.profile_version	wifi_bridge.sh
wbridge.link_guard.enabled	wifi_bridge.sh
wbridge.link_guard.link_down_debounce_sec	wifi_bridge.sh
wbridge.link_guard.link_up_stable_sec	wifi_bridge.sh
wbridge.link_guard.link_idle_poll_sec	wifi_bridge.sh
wbridge.link_guard.wait_ready_timeout_sec	wifi_bridge.sh
wbridge.link_guard.wlan_roam_grace_sec	wifi_bridge.sh
wbridge.link_guard.wlan_down_restart	wifi_bridge.sh
wbridge.thermal.enabled	postinst,wifi_apply_enabled.sh,wifi_bridge.sh
wbridge.thermal.mode_force	wifi_bridge.sh,wifi_thermal_state_update.sh
wbridge.thermal.auto_restart	wifi_thermal_state_update.sh
wbridge.thermal.restart_cooldown_sec	wifi_thermal_state_update.sh
wbridge.thermal.bridge_units	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.warm_cpu_enter	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.hot_cpu_enter	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.warm_cpu_exit	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.hot_cpu_exit	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.warm_wifi_enter	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.hot_wifi_enter	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.warm_wifi_exit	wifi_thermal_state_update.sh
wbridge.thermal.thresholds.hot_wifi_exit	wifi_thermal_state_update.sh
temperature.emerg_cpu	wifi_logger_temp.sh
temperature.crit_cpu	wifi_logger_temp.sh
temperature.error_cpu	wifi_logger_temp.sh
temperature.warn_cpu	wifi_logger_temp.sh
temperature.emerg_mlan	wifi_logger_temp.sh
temperature.crit_mlan	wifi_logger_temp.sh
temperature.error_mlan	wifi_logger_temp.sh
temperature.warn_mlan	wifi_logger_temp.sh
temperature.cooldown_sec	wifi_logger_temp.sh
temperature.recover_cpu	wifi_logger_temp.sh
temperature.recover_mlan	wifi_logger_temp.sh
temperature.check_interval_sec	wifi_logger_temp.sh
temperature.emerg_count_threshold	wifi_logger_temp.sh
mmc.check_interval_sec	wifi_logger_mmc.sh
mcp.gain_current	wifi_logger_mcp.sh
mcp.gain_voltage	wifi_logger_mcp.sh
mcp.check_interval_sec	wifi_logger_mcp.sh
mcp.max_probe_fail	wifi_logger_mcp.sh
mcp.system_5v.warn_a	wifi_logger_mcp.sh
mcp.system_5v.error_a	wifi_logger_mcp.sh
mcp.system_5v.crit_a	wifi_logger_mcp.sh
mcp.system_5v.emerg_a	wifi_logger_mcp.sh
mcp.system_24v.warn_a	wifi_logger_mcp.sh
mcp.system_24v.error_a	wifi_logger_mcp.sh
mcp.system_24v.crit_a	wifi_logger_mcp.sh
mcp.system_24v.emerg_a	wifi_logger_mcp.sh
monitor.interval_sec	wifi_link_monitor.py
monitor.summary_lines	wifi_link_monitor.py
monitor.ping_lines	wifi_link_monitor.py
monitor.roam_display_sec	wifi_link_monitor.py
logger.cpu_interval_sec	wifi_logger_cpu.sh
logger.link_interval_sec	wifi_logger_link.py
logger.stat_log_interval_sec	wifi_logger_stat.py
logger.stat_check_interval_sec	wifi_logger_stat.py
logger.stat_reset_interval_sec	wifi.sh,wifi_logger_stat.py
logger.bgscan_stale_threshold_sec	wifi_logger_scan.py
eth0.logger.link_interval_sec	wifi_logger_link.py
<iface>.STANDARD	wifi.sh,wifi_init.sh,wifi_radio_test.sh
<iface>.CAL_DATA_CFG	wifi.sh,wifi_cal_backup.sh,wifi_cal_backup_test.sh,wifi_init.sh
<iface>.TXPWRLIMIT_PATH	wifi.sh,wifi_init.sh
<iface>.connect_threshold	(none)
<iface>.enabled	factory_reset.sh,postinst,wbridge_smoke_test.sh,wifi.sh,wifi_apply_enabled.sh,wifi_bgscan.py,wifi_bridge.sh,wifi_eth_peer_route.sh,wifi_event.sh,wifi_init.sh,wifi_init_config_lib.sh,wifi_init_config_test.sh,wifi_roam.py,wifi_snmp_trap.sh,wired_mac_ip_get.py
<iface>.Frequency	wifi.sh,wifi_init_config_lib.sh,wifi_init_config_test.sh
<iface>.net_rx	wifi.sh,wifi_apply_enabled.sh,wifi_init.sh
<iface>.mgmt_hex_dump_enable	wifi_init.sh
<iface>.thermal_mgmt	wifi_init.sh
<iface>.rate_adapt.mode	wifi_init.sh
<iface>.rate_adapt.low_thresh	wifi_init.sh
<iface>.rate_adapt.high_thresh	wifi_init.sh
<iface>.rate_adapt.interval_ms	wifi_init.sh
<iface>.logger.link_interval_sec	wifi_logger_link.py
<iface>.logger.stat_log_interval_sec	wifi_logger_stat.py
<iface>.logger.stat_check_interval_sec	wifi_logger_stat.py
<iface>.logger.stat_reset_interval_sec	wifi.sh,wifi_logger_stat.py
<iface>.logger.enabled	wifi.sh,wifi_apply_enabled.sh,wifi_roam.py
<iface>.periodic_roam.interval	wifi_periodic_roam.sh
<iface>.periodic_roam.scan_before_roam	wifi_periodic_roam.sh
<iface>.periodic_roam.enabled	wifi_apply_enabled.sh
<iface>.bgscan.interval	wifi.sh,wifi_bgscan.py
<iface>.bgscan.ssid_filter	wifi_bgscan.py
<iface>.bgscan.freq_filter	wifi_bgscan.py
<iface>.bgscan.passive	wifi_bgscan.py
<iface>.bgscan.emit_roam_hint	wifi_bgscan.py
<iface>.bgscan.enabled	wifi.sh,wifi_apply_enabled.sh,wifi_bgscan.py
<iface>.roaming.use_signal_avg	wifi_roam.py
<iface>.roaming.DEFAULT_TH_2G	wifi.sh,wifi_roam.py
<iface>.roaming.DEFAULT_TH_5G	wifi.sh,wifi_roam.py
<iface>.roaming.DIFF_TH	wifi.sh,wifi_roam.py
<iface>.roaming.CHECK_INTERVAL	wifi.sh,wifi_roam.py
<iface>.roaming.extra_ssids	passive_roam.py,wifi_bgscan.py,wifi_init_config_lib.sh,wifi_roam.py
<iface>.roaming.generate_network_blocks	wifi_bgscan.py,wifi_init_config_lib.sh,wifi_roam.py
<iface>.roaming.ROAM_CROSS_FAIL_RETRY_COUNT	wifi_roam.py
<iface>.roaming.ROAM_NO_RESULT_FAST_COUNT	wifi_roam.py
<iface>.roaming.PREDICTIVE_ROAM.enable	wifi.sh,wifi_roam.py
