path	tested
global.BOARD_TYPE	-
global.BUS_TYPE	-
global.BLUETOOTH.enable	Y
global.MOD_PARA	-
global.CAL_DATA_CFG	Y
global.TXPWRLIMIT_PATH	-
global.STANDARD	Y
global.DEV_CAP_MASK	-
global.ANT_TYPE	-
global.tx_work	-
global.ping_monitor.enabled	Y
mac.mlan0.base	Y
mac.mlan0.target	-
mac.mlan1.base	Y
mac.mlan1.target	-
mac.eth0.base	Y
wbridge.enabled	Y
wbridge.bridge_iface	-
wbridge.mac_mode	-
wbridge.ip_discovery	-
wbridge.eth_client_ip	-
wbridge.eth_link_wait_sec	-
wbridge.eth_sweep_subnet	-
wbridge.peer_route.enabled	Y
wbridge.arp_ignore_always.enabled	Y
wbridge.eth_fallback.enabled	Y
wbridge.engine	-
wbridge.moal.keepalive_ms	-
wbridge.moal.keepalive_idle_ms	-
wbridge.moal.deliver_rt_prio	-
wbridge.moal.debug	-
wbridge.moal.peer	-
wbridge.moal.consume_link_local	-
wbridge.moal.local_hairpin	-
wbridge.optimize.enabled	Y
wbridge.optimize.mode	Y
wbridge.optimize.irq_affinity	-
wbridge.optimize.profile_version	-
wbridge.link_guard.enabled	Y
wbridge.link_guard.link_down_debounce_sec	-
wbridge.link_guard.link_up_stable_sec	-
wbridge.link_guard.link_idle_poll_sec	-
wbridge.link_guard.wait_ready_timeout_sec	-
wbridge.link_guard.wlan_roam_grace_sec	-
wbridge.link_guard.wlan_down_restart	-
wbridge.thermal.enabled	Y
wbridge.thermal.mode_force	-
wbridge.thermal.auto_restart	-
wbridge.thermal.restart_cooldown_sec	-
wbridge.thermal.bridge_units	-
wbridge.thermal.thresholds.warm_cpu_enter	-
wbridge.thermal.thresholds.hot_cpu_enter	-
wbridge.thermal.thresholds.warm_cpu_exit	-
wbridge.thermal.thresholds.hot_cpu_exit	-
wbridge.thermal.thresholds.warm_wifi_enter	-
wbridge.thermal.thresholds.hot_wifi_enter	-
wbridge.thermal.thresholds.warm_wifi_exit	-
wbridge.thermal.thresholds.hot_wifi_exit	-
temperature.emerg_cpu	-
temperature.crit_cpu	-
temperature.error_cpu	-
temperature.warn_cpu	-
temperature.emerg_mlan	-
temperature.crit_mlan	-
temperature.error_mlan	-
temperature.warn_mlan	-
temperature.cooldown_sec	-
temperature.recover_cpu	-
temperature.recover_mlan	-
temperature.check_interval_sec	-
temperature.emerg_count_threshold	-
mmc.check_interval_sec	-
mcp.gain_current	-
mcp.gain_voltage	-
mcp.check_interval_sec	-
mcp.max_probe_fail	-
mcp.system_5v.warn_a	-
mcp.system_5v.error_a	-
mcp.system_5v.crit_a	-
mcp.system_5v.emerg_a	-
mcp.system_24v.warn_a	-
mcp.system_24v.error_a	-
mcp.system_24v.crit_a	-
mcp.system_24v.emerg_a	-
monitor.interval_sec	-
monitor.summary_lines	-
monitor.ping_lines	-
monitor.roam_display_sec	-
logger.cpu_interval_sec	-
logger.link_interval_sec	-
logger.stat_log_interval_sec	-
logger.stat_check_interval_sec	-
logger.stat_reset_interval_sec	-
logger.bgscan_stale_threshold_sec	Y
eth0.logger.link_interval_sec	-
<iface>.STANDARD	Y
<iface>.CAL_DATA_CFG	Y
<iface>.TXPWRLIMIT_PATH	-
<iface>.connect_threshold	-
<iface>.enabled	Y
<iface>.Frequency	Y
<iface>.net_rx	-
<iface>.mgmt_hex_dump_enable	-
<iface>.thermal_mgmt	-
<iface>.rate_adapt.mode	Y
<iface>.rate_adapt.low_thresh	-
<iface>.rate_adapt.high_thresh	-
<iface>.rate_adapt.interval_ms	-
